trigger_type,n,percentile,gap_seconds
human,29228,0.000,0.000000000
human,29228,0.005,0.046000000
human,29228,0.010,0.075000000
human,29228,0.015,0.091000000
human,29228,0.020,0.112000000
human,29228,0.025,0.128000000
human,29228,0.030,0.153000000
human,29228,0.035,0.184945000
human,29228,0.040,0.244000000
human,29228,0.045,0.384215000
human,29228,0.050,0.777400000
human,29228,0.055,1.450455000
human,29228,0.060,2.310620000
human,29228,0.065,3.189530000
human,29228,0.070,3.649450000
human,29228,0.075,4.182025000
human,29228,0.080,4.556960000
human,29228,0.085,4.983295000
human,29228,0.090,5.329430000
human,29228,0.095,5.675260000
human,29228,0.100,6.029700000
human,29228,0.105,6.418505000
human,29228,0.110,6.780940000
human,29228,0.115,7.150315000
human,29228,0.120,7.486240000
human,29228,0.125,7.811375000
human,29228,0.130,8.130020000
human,29228,0.135,8.494225000
human,29228,0.140,8.815780000
human,29228,0.145,9.174660000
human,29228,0.150,9.560400000
human,29228,0.155,9.988185000
human,29228,0.160,10.354320000
human,29228,0.165,10.770000000
human,29228,0.170,11.164770000
human,29228,0.175,11.592450000
human,29228,0.180,12.001580000
human,29228,0.185,12.404995000
human,29228,0.190,12.715130000
human,29228,0.195,13.096795000
human,29228,0.200,13.477000000
human,29228,0.205,14.018000000
human,29228,0.210,14.450350000
human,29228,0.215,14.922830000
human,29228,0.220,15.441760000
human,29228,0.225,16.052075000
human,29228,0.230,16.654000000
human,29228,0.235,17.219795000
human,29228,0.240,17.833880000
human,29228,0.245,18.570920000
human,29228,0.250,19.242750000
human,29228,0.255,19.995885000
human,29228,0.260,20.737200000
human,29228,0.265,21.574705000
human,29228,0.270,22.377930000
human,29228,0.275,23.182275000
human,29228,0.280,24.046240000
human,29228,0.285,24.853695000
human,29228,0.290,25.638450000
human,29228,0.295,26.580000000
human,29228,0.300,27.509300000
human,29228,0.305,28.476470000
human,29228,0.310,29.678510000
human,29228,0.315,30.935040000
human,29228,0.320,32.094640000
human,29228,0.325,33.186100000
human,29228,0.330,34.484550000
human,29228,0.335,35.790135000
human,29228,0.340,36.890520000
human,29228,0.345,38.113575000
human,29228,0.350,39.076000000
human,29228,0.355,40.086170000
human,29228,0.360,40.988880000
human,29228,0.365,41.978000000
human,29228,0.370,42.671980000
human,29228,0.375,43.479125000
human,29228,0.380,44.082260000
human,29228,0.385,44.721395000
human,29228,0.390,45.340060000
human,29228,0.395,45.915330000
human,29228,0.400,46.459200000
human,29228,0.405,47.058480000
human,29228,0.410,47.609140000
human,29228,0.415,48.231410000
human,29228,0.420,48.745340000
human,29228,0.425,49.254000000
human,29228,0.430,49.694440000
human,29228,0.435,50.093980000
human,29228,0.440,50.495640000
human,29228,0.445,51.308030000
human,29228,0.450,52.922150000
human,29228,0.455,54.609140000
human,29228,0.460,56.181420000
human,29228,0.465,57.833220000
human,29228,0.470,59.077210000
human,29228,0.475,61.262725000
human,29228,0.480,63.534520000
human,29228,0.485,65.511045000
human,29228,0.490,67.455760000
human,29228,0.495,69.660570000
human,29228,0.500,71.707500000
human,29228,0.505,73.949905000
human,29228,0.510,76.385620000
human,29228,0.515,78.767055000
human,29228,0.520,81.057600000
human,29228,0.525,84.182750000
human,29228,0.530,86.649480000
human,29228,0.535,89.426230000
human,29228,0.540,92.230560000
human,29228,0.545,95.281715000
human,29228,0.550,98.635950000
human,29228,0.555,102.544760000
human,29228,0.560,105.934920000
human,29228,0.565,109.970765000
human,29228,0.570,114.171900000
human,29228,0.575,117.484350000
human,29228,0.580,120.840640000
human,29228,0.585,124.952980000
human,29228,0.590,128.897860000
human,29228,0.595,133.079355000
human,29228,0.600,138.035800000
human,29228,0.605,143.161000000
human,29228,0.610,147.773930000
human,29228,0.615,153.238895000
human,29228,0.620,159.175200000
human,29228,0.625,164.594000000
human,29228,0.630,170.967480000
human,29228,0.635,176.955020000
human,29228,0.640,180.921160000
human,29228,0.645,188.027335000
human,29228,0.650,195.665000000
human,29228,0.655,202.776605000
human,29228,0.660,210.549020000
human,29228,0.665,218.426160000
human,29228,0.670,223.548800000
human,29228,0.675,225.739925000
human,29228,0.680,231.489200000
human,29228,0.685,238.940405000
human,29228,0.690,246.497340000
human,29228,0.695,255.425385000
human,29228,0.700,261.560100000
human,29228,0.705,264.737105000
human,29228,0.710,266.759040000
human,29228,0.715,268.588000000
human,29228,0.720,269.895240000
human,29228,0.725,271.567875000
human,29228,0.730,273.271940000
human,29228,0.735,274.841535000
human,29228,0.740,276.153680000
human,29228,0.745,277.454115000
human,29228,0.750,278.746500000
human,29228,0.755,280.171085000
human,29228,0.760,282.528000000
human,29228,0.765,285.128310000
human,29228,0.770,293.818400000
human,29228,0.775,298.312625000
human,29228,0.780,304.602880000
human,29228,0.785,317.618135000
human,29228,0.790,331.867600000
human,29228,0.795,346.023050000
human,29228,0.800,359.266600000
human,29228,0.805,376.086395000
human,29228,0.810,394.100400000
human,29228,0.815,413.176515000
human,29228,0.820,429.567180000
human,29228,0.825,444.001525000
human,29228,0.830,458.957350000
human,29228,0.835,470.915600000
human,29228,0.840,494.237440000
human,29228,0.845,519.748000000
human,29228,0.850,539.642450000
human,29228,0.855,558.056350000
human,29228,0.860,573.781860000
human,29228,0.865,580.614130000
human,29228,0.870,585.926310000
human,29228,0.875,603.299500000
human,29228,0.880,632.414360000
human,29228,0.885,672.181000000
human,29228,0.890,713.128540000
human,29228,0.895,761.839455000
human,29228,0.900,815.839300000
human,29228,0.905,866.230340000
human,29228,0.910,920.285530000
human,29228,0.915,985.009270000
human,29228,0.920,1055.873280000
human,29228,0.925,1144.951675000
human,29228,0.930,1217.489930000
human,29228,0.935,1328.844285000
human,29228,0.940,1446.025560000
human,29228,0.945,1589.225925000
human,29228,0.950,1771.638500000
human,29228,0.955,1861.797745000
human,29228,0.960,2150.692240000
human,29228,0.965,2522.159740000
human,29228,0.970,3066.797380000
human,29228,0.975,3798.205575000
human,29228,0.980,5310.434640000
human,29228,0.985,8311.222400000
human,29228,0.990,15735.386530000
human,29228,0.995,40269.773765000
human,29228,1.000,1547499.494000000
tool,275189,0.000,0.000000000
tool,275189,0.005,0.000000000
tool,275189,0.010,0.000000000
tool,275189,0.015,0.000000000
tool,275189,0.020,0.000000000
tool,275189,0.025,0.000000000
tool,275189,0.030,0.000000000
tool,275189,0.035,0.000000000
tool,275189,0.040,0.000000000
tool,275189,0.045,0.000000000
tool,275189,0.050,0.000000000
tool,275189,0.055,0.000000000
tool,275189,0.060,0.001000000
tool,275189,0.065,0.003000000
tool,275189,0.070,0.004000000
tool,275189,0.075,0.005000000
tool,275189,0.080,0.006000000
tool,275189,0.085,0.007000000
tool,275189,0.090,0.008000000
tool,275189,0.095,0.010000000
tool,275189,0.100,0.011000000
tool,275189,0.105,0.012000000
tool,275189,0.110,0.013000000
tool,275189,0.115,0.014000000
tool,275189,0.120,0.016000000
tool,275189,0.125,0.017000000
tool,275189,0.130,0.019000000
tool,275189,0.135,0.021000000
tool,275189,0.140,0.022000000
tool,275189,0.145,0.023000000
tool,275189,0.150,0.025000000
tool,275189,0.155,0.026000000
tool,275189,0.160,0.027000000
tool,275189,0.165,0.028000000
tool,275189,0.170,0.030000000
tool,275189,0.175,0.031000000
tool,275189,0.180,0.032000000
tool,275189,0.185,0.034000000
tool,275189,0.190,0.035000000
tool,275189,0.195,0.036000000
tool,275189,0.200,0.037000000
tool,275189,0.205,0.039000000
tool,275189,0.210,0.040000000
tool,275189,0.215,0.041000000
tool,275189,0.220,0.042000000
tool,275189,0.225,0.044000000
tool,275189,0.230,0.045000000
tool,275189,0.235,0.047000000
tool,275189,0.240,0.049000000
tool,275189,0.245,0.050000000
tool,275189,0.250,0.051000000
tool,275189,0.255,0.053000000
tool,275189,0.260,0.055000000
tool,275189,0.265,0.056000000
tool,275189,0.270,0.058000000
tool,275189,0.275,0.059000000
tool,275189,0.280,0.061000000
tool,275189,0.285,0.063000000
tool,275189,0.290,0.065000000
tool,275189,0.295,0.067000000
tool,275189,0.300,0.069000000
tool,275189,0.305,0.070000000
tool,275189,0.310,0.072000000
tool,275189,0.315,0.075000000
tool,275189,0.320,0.077000000
tool,275189,0.325,0.079000000
tool,275189,0.330,0.082000000
tool,275189,0.335,0.084000000
tool,275189,0.340,0.087000000
tool,275189,0.345,0.090000000
tool,275189,0.350,0.093000000
tool,275189,0.355,0.096000000
tool,275189,0.360,0.100000000
tool,275189,0.365,0.103000000
tool,275189,0.370,0.106000000
tool,275189,0.375,0.110000000
tool,275189,0.380,0.113000000
tool,275189,0.385,0.116000000
tool,275189,0.390,0.120000000
tool,275189,0.395,0.124000000
tool,275189,0.400,0.128000000
tool,275189,0.405,0.133000000
tool,275189,0.410,0.137000000
tool,275189,0.415,0.142000000
tool,275189,0.420,0.148000000
tool,275189,0.425,0.153000000
tool,275189,0.430,0.159000000
tool,275189,0.435,0.166000000
tool,275189,0.440,0.172000000
tool,275189,0.445,0.179000000
tool,275189,0.450,0.187000000
tool,275189,0.455,0.196000000
tool,275189,0.460,0.206000000
tool,275189,0.465,0.217000000
tool,275189,0.470,0.230000000
tool,275189,0.475,0.244000000
tool,275189,0.480,0.260000000
tool,275189,0.485,0.281000000
tool,275189,0.490,0.312000000
tool,275189,0.495,0.336000000
tool,275189,0.500,0.351000000
tool,275189,0.505,0.389000000
tool,275189,0.510,0.428000000
tool,275189,0.515,0.484000000
tool,275189,0.520,0.564000000
tool,275189,0.525,0.692000000
tool,275189,0.530,0.808000000
tool,275189,0.535,0.960000000
tool,275189,0.540,1.032000000
tool,275189,0.545,1.104000000
tool,275189,0.550,1.150000000
tool,275189,0.555,1.162000000
tool,275189,0.560,1.163000000
tool,275189,0.565,1.165000000
tool,275189,0.570,1.174000000
tool,275189,0.575,1.296000000
tool,275189,0.580,1.456000000
tool,275189,0.585,1.574000000
tool,275189,0.590,1.716000000
tool,275189,0.595,1.863000000
tool,275189,0.600,2.017000000
tool,275189,0.605,2.167000000
tool,275189,0.610,2.306000000
tool,275189,0.615,2.483000000
tool,275189,0.620,2.674000000
tool,275189,0.625,2.889000000
tool,275189,0.630,3.105000000
tool,275189,0.635,3.347000000
tool,275189,0.640,3.592000000
tool,275189,0.645,3.860000000
tool,275189,0.650,4.148000000
tool,275189,0.655,4.442140000
tool,275189,0.660,4.745000000
tool,275189,0.665,4.996000000
tool,275189,0.670,5.002000000
tool,275189,0.675,5.008000000
tool,275189,0.680,5.025000000
tool,275189,0.685,5.192000000
tool,275189,0.690,5.488000000
tool,275189,0.695,5.798000000
tool,275189,0.700,6.120600000
tool,275189,0.705,6.427000000
tool,275189,0.710,6.753000000
tool,275189,0.715,7.082000000
tool,275189,0.720,7.420360000
tool,275189,0.725,7.768000000
tool,275189,0.730,8.114240000
tool,275189,0.735,8.434000000
tool,275189,0.740,8.792000000
tool,275189,0.745,9.146060000
tool,275189,0.750,9.528000000
tool,275189,0.755,9.949940000
tool,275189,0.760,10.274000000
tool,275189,0.765,10.744000000
tool,275189,0.770,11.233760000
tool,275189,0.775,11.726000000
tool,275189,0.780,12.116640000
tool,275189,0.785,12.475000000
tool,275189,0.790,12.872000000
tool,275189,0.795,13.299460000
tool,275189,0.800,13.763000000
tool,275189,0.805,14.250340000
tool,275189,0.810,14.734000000
tool,275189,0.815,15.220220000
tool,275189,0.820,15.780000000
tool,275189,0.825,16.401100000
tool,275189,0.830,17.042040000
tool,275189,0.835,17.669980000
tool,275189,0.840,18.277000000
tool,275189,0.845,18.928860000
tool,275189,0.850,19.677000000
tool,275189,0.855,20.313000000
tool,275189,0.860,21.099680000
tool,275189,0.865,21.866000000
tool,275189,0.870,22.672120000
tool,275189,0.875,23.573000000
tool,275189,0.880,24.640000000
tool,275189,0.885,25.760380000
tool,275189,0.890,27.103320000
tool,275189,0.895,28.585520000
tool,275189,0.900,29.980200000
tool,275189,0.905,30.020000000
tool,275189,0.910,30.058000000
tool,275189,0.915,30.064000000
tool,275189,0.920,30.075000000
tool,275189,0.925,30.242000000
tool,275189,0.930,31.350840000
tool,275189,0.935,32.840000000
tool,275189,0.940,34.281000000
tool,275189,0.945,36.148960000
tool,275189,0.950,38.879600000
tool,275189,0.955,42.755400000
tool,275189,0.960,48.483400000
tool,275189,0.965,59.090940000
tool,275189,0.970,63.089720000
tool,275189,0.975,69.633200000
tool,275189,0.980,92.520120000
tool,275189,0.985,120.107180000
tool,275189,0.990,155.352720000
tool,275189,0.995,300.149300000
tool,275189,1.000,440697.891000000
