metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
context_length_tokens,all,all,tokens,399,447,"(399,447]",3,9.517857086203232e-06,3,9.517857086203232e-06,315197
context_length_tokens,all,all,tokens,502,563,"(502,563]",6,1.9035714172406465e-05,9,2.8553571258609694e-05,315197
context_length_tokens,all,all,tokens,563,631,"(563,631]",5,1.586309514367205e-05,14,4.441666640228175e-05,315197
context_length_tokens,all,all,tokens,631,708,"(631,708]",5,1.586309514367205e-05,19,6.02797615459538e-05,315197
context_length_tokens,all,all,tokens,708,795,"(708,795]",2,6.345238057468821e-06,21,6.662499960342262e-05,315197
context_length_tokens,all,all,tokens,795,892,"(795,892]",1,3.1726190287344105e-06,22,6.979761863215703e-05,315197
context_length_tokens,all,all,tokens,1000,1123,"(1000,1123]",1,3.1726190287344105e-06,23,7.297023766089144e-05,315197
context_length_tokens,all,all,tokens,1259,1413,"(1259,1413]",2,6.345238057468821e-06,25,7.931547571836026e-05,315197
context_length_tokens,all,all,tokens,2512,2819,"(2512,2819]",17,5.393452348848498e-05,42,0.00013324999920684525,315197
context_length_tokens,all,all,tokens,2819,3163,"(2819,3163]",28,8.88333328045635e-05,70,0.00022208333201140874,315197
context_length_tokens,all,all,tokens,3163,3549,"(3163,3549]",74,0.00023477380812634638,144,0.0004568571401377551,315197
context_length_tokens,all,all,tokens,3549,3982,"(3549,3982]",120,0.00038071428344812927,264,0.0008375714235858844,315197
context_length_tokens,all,all,tokens,3982,4467,"(3982,4467]",236,0.0007487380907813209,500,0.0015863095143672052,315197
context_length_tokens,all,all,tokens,4467,5012,"(4467,5012]",147,0.00046637499722395833,647,0.0020526845115911635,315197
context_length_tokens,all,all,tokens,5012,5624,"(5012,5624]",108,0.0003426428551033163,755,0.00239532736669448,315197
context_length_tokens,all,all,tokens,5624,6310,"(5624,6310]",117,0.00037119642636192603,872,0.002766523793056406,315197
context_length_tokens,all,all,tokens,6310,7080,"(6310,7080]",159,0.0005044464255687713,1031,0.003270970218625177,315197
context_length_tokens,all,all,tokens,7080,7944,"(7080,7944]",202,0.000640869043804351,1233,0.003911839262429528,315197
context_length_tokens,all,all,tokens,7944,8913,"(7944,8913]",455,0.0014435416580741568,1688,0.005355380920503685,315197
context_length_tokens,all,all,tokens,8913,10000,"(8913,10000]",494,0.0015672738001947988,2182,0.006922654720698484,315197
context_length_tokens,all,all,tokens,10000,11221,"(10000,11221]",671,0.0021288273682807893,2853,0.009051482088979273,315197
context_length_tokens,all,all,tokens,11221,12590,"(11221,12590]",1146,0.0036358214069296345,3999,0.012687303495908908,315197
context_length_tokens,all,all,tokens,12590,14126,"(12590,14126]",1634,0.005184059492952027,5633,0.017871362988860936,315197
context_length_tokens,all,all,tokens,14126,15849,"(14126,15849]",2519,0.00799182733338198,8152,0.025863190322242914,315197
context_length_tokens,all,all,tokens,15849,17783,"(15849,17783]",2730,0.00866124994844494,10882,0.03452444027068786,315197
context_length_tokens,all,all,tokens,17783,19953,"(17783,19953]",3425,0.010866220173415356,14307,0.04539066044410321,315197
context_length_tokens,all,all,tokens,19953,22388,"(19953,22388]",3736,0.011852904691351758,18043,0.05724356513545497,315197
context_length_tokens,all,all,tokens,22388,25119,"(22388,25119]",4513,0.014318029676678395,22556,0.07156159481213337,315197
context_length_tokens,all,all,tokens,25119,28184,"(25119,28184]",5161,0.01637388680729829,27717,0.08793548161943165,315197
context_length_tokens,all,all,tokens,28184,31623,"(28184,31623]",5664,0.017969714178751702,33381,0.10590519579818336,315197
context_length_tokens,all,all,tokens,31623,35482,"(31623,35482]",6864,0.021776857013232995,40245,0.12768205281141634,315197
context_length_tokens,all,all,tokens,35482,39811,"(35482,39811]",8331,0.026431089128386376,48576,0.15411314193980272,315197
context_length_tokens,all,all,tokens,39811,44669,"(39811,44669]",9388,0.029784547441758645,57964,0.18389768938156137,315197
context_length_tokens,all,all,tokens,44669,50119,"(44669,50119]",11088,0.035177999790607144,69052,0.21907568917216852,315197
context_length_tokens,all,all,tokens,50119,56235,"(50119,56235]",12247,0.03885506524491033,81299,0.25793075441707886,315197
context_length_tokens,all,all,tokens,56235,63096,"(56235,63096]",13307,0.0422180414153688,94606,0.30014879583244763,315197
context_length_tokens,all,all,tokens,63096,70795,"(63096,70795]",13618,0.0432047259333052,108224,0.34335352176575284,315197
context_length_tokens,all,all,tokens,70795,79433,"(70795,79433]",14572,0.04623140448671783,122796,0.38958492625247065,315197
context_length_tokens,all,all,tokens,79433,89126,"(79433,89126]",14758,0.046821511626062434,137554,0.4364064378785331,315197
context_length_tokens,all,all,tokens,89126,100000,"(89126,100000]",14986,0.047544868764613876,152540,0.483951306643147,315197
context_length_tokens,all,all,tokens,100000,112202,"(100000,112202]",15160,0.04809690447561366,167700,0.5320482111187607,315197
context_length_tokens,all,all,tokens,112202,125893,"(112202,125893]",15483,0.04912166042189488,183183,0.5811698715406556,315197
context_length_tokens,all,all,tokens,125893,141254,"(125893,141254]",15812,0.0501654520823485,198995,0.631335323623004,315197
context_length_tokens,all,all,tokens,141254,158490,"(141254,158490]",16689,0.052947838970548576,215684,0.6842831625935526,315197
context_length_tokens,all,all,tokens,158490,177828,"(158490,177828]",17243,0.05470546991246744,232927,0.7389886325060201,315197
context_length_tokens,all,all,tokens,177828,199527,"(177828,199527]",16253,0.051564577074020373,249180,0.7905532095800404,315197
context_length_tokens,all,all,tokens,199527,223873,"(199527,223873]",15685,0.04976252946569923,264865,0.8403157390457396,315197
context_length_tokens,all,all,tokens,223873,251189,"(223873,251189]",11337,0.035967981928762015,276202,0.8762837209745017,315197
context_length_tokens,all,all,tokens,251189,281839,"(251189,281839]",6354,0.020158821308578444,282556,0.8964425422830801,315197
context_length_tokens,all,all,tokens,281839,316228,"(281839,316228]",6184,0.019619476073693593,288740,0.9160620183567737,315197
context_length_tokens,all,all,tokens,316228,354814,"(316228,354814]",5521,0.017516029657642682,294261,0.9335780480144164,315197
context_length_tokens,all,all,tokens,354814,398108,"(354814,398108]",4756,0.015088976100660857,299017,0.9486670241150772,315197
context_length_tokens,all,all,tokens,398108,446684,"(398108,446684]",3659,0.011608613026139207,302676,0.9602756371412164,315197
context_length_tokens,all,all,tokens,446684,501188,"(446684,501188]",2439,0.007738017811083227,305115,0.9680136549522996,315197
context_length_tokens,all,all,tokens,501188,562342,"(501188,562342]",1911,0.006062874963911459,307026,0.9740765299162112,315197
context_length_tokens,all,all,tokens,562342,630958,"(562342,630958]",1699,0.005390279729819763,308725,0.979466809646031,315197
context_length_tokens,all,all,tokens,630958,707946,"(630958,707946]",1678,0.005323654730216341,310403,0.9847904643762473,315197
context_length_tokens,all,all,tokens,707946,794329,"(707946,794329]",1842,0.005843964250928784,312245,0.990634428627176,315197
context_length_tokens,all,all,tokens,794329,891251,"(794329,891251]",1699,0.005390279729819763,313944,0.9960247083569957,315197
context_length_tokens,all,all,tokens,891251,999944,"(891251,999944]",1253,0.003975291643004216,315197,1.0,315197
context_length_tokens,provider,claude,tokens,399,447,"(399,447]",3,1.648333534796321e-05,3,1.648333534796321e-05,182002
context_length_tokens,provider,claude,tokens,502,563,"(502,563]",6,3.296667069592642e-05,9,4.945000604388963e-05,182002
context_length_tokens,provider,claude,tokens,563,631,"(563,631]",5,2.747222557993868e-05,14,7.69222316238283e-05,182002
context_length_tokens,provider,claude,tokens,631,708,"(631,708]",5,2.747222557993868e-05,19,0.000104394457203767,182002
context_length_tokens,provider,claude,tokens,708,795,"(708,795]",1,5.494445115987737e-06,20,0.00010988890231975472,182002
context_length_tokens,provider,claude,tokens,3549,3982,"(3549,3982]",2,1.0988890231975473e-05,22,0.0001208777925517302,182002
