metric,group_dimension,group_value,unit,count,mean,stddev_population,min,p10,p25,p50,p75,p90,p95,p99,max,sum
turns_per_simulator_session,all,all,turns,8600,36.650813953488374,74.10556141002927,1.0,2.0,6.0,14.0,33.0,96.0,149.04999999999927,368.0100000000002,1149.0,315197.0
turns_per_simulator_session,provider,claude,turns,5492,33.139475600874,72.2184554656829,1.0,2.0,5.0,13.0,29.0,78.90000000000055,130.0,380.3600000000006,1078.0,182002.0
turns_per_simulator_session,provider,codex,turns,3108,42.855534105534105,76.93687791728613,1.0,3.0,7.0,15.0,43.0,122.0,162.64999999999964,338.3699999999985,1149.0,133195.0
turn_gap_seconds,all,all,seconds,306597,146.7647592735741,6734.271822754364,0.0,0.013,0.06,1.159,14.401,43.093400000000024,128.9062,897.9905199999977,1547499.494,44997634.899
turn_gap_seconds,provider,claude,seconds,176510,211.69351365361734,8605.815686077414,0.0,0.003,0.032,0.114,2.707,56.00030000000002,223.363,1181.6195300000031,1547499.494,37366022.095
turn_gap_seconds,provider,codex,seconds,130087,58.665453150583836,2526.2482796989457,0.0,0.07,1.16,8.999,22.416,35.454600000000035,63.813399999999994,625.7647799999993,658992.994,7631612.804
turn_gap_seconds,trigger_type,human,seconds,29228,1342.0223746065417,21573.358914411634,0.0,6.0297,19.24275,71.7075,278.74649999999997,815.8392999999999,1771.6384999999996,15735.386529999956,1547499.494,39224629.965
turn_gap_seconds,trigger_type,tool,seconds,275189,20.896009077397718,962.8888136416531,0.0,0.011,0.051,0.351,9.528,29.98020000000001,38.879599999999975,155.35271999999998,440697.891,5750351.842
turn_gap_seconds,trigger_type,unknown,seconds,2180,10.391326605504588,44.141203466867786,0.0,2.4439,3.7225,6.9785,11.6455,16.986300000000004,21.99509999999996,51.39228000000006,1993.126,22653.092
isl_tokens,all,all,tokens,315197,2005.59136349648,6588.994162319948,1.0,30.0,66.0,263.0,1301.0,4712.0,10233.0,25398.319999999832,710767.0,632156381.0
isl_tokens,provider,claude,tokens,182002,2041.6888111119658,7233.623997413442,1.0,43.0,91.0,325.0,1248.75,3992.899999999994,9525.949999999983,28729.949999999953,710767.0,371591447.0
isl_tokens,provider,codex,tokens,133195,1956.2666316303164,5588.8344469741505,1.0,28.0,48.0,184.0,1413.5,5771.200000000012,10629.599999999977,22688.059999999998,462569.0,260564934.0
isl_tokens,trigger_type,human,tokens,37153,5599.759884800689,11968.219122530305,1.0,28.0,157.0,637.0,5566.0,18572.600000000006,25281.000000000007,42503.12000000006,462569.0,208047879.0
isl_tokens,trigger_type,tool,tokens,275735,1475.2203202350083,4577.855131913788,1.0,30.0,63.0,235.0,1126.0,3661.600000000006,6984.299999999988,17974.0,710767.0,406769875.0
isl_tokens,trigger_type,unknown,tokens,2309,7509.149848419229,29109.352512706817,12.0,30.0,82.0,557.0,3064.0,9715.600000000006,26545.799999999996,199042.0,199042.0,17338627.0
osl_tokens,all,all,tokens,315197,598.8625240722469,1246.4838733848935,1.0,37.0,99.0,234.0,576.0,1379.0,2422.0,5852.039999999979,64000.0,188759671.0
osl_tokens,provider,claude,tokens,182002,795.7210525159064,1490.6720919643021,1.0,66.0,140.0,325.0,797.0,1950.0,3192.9499999999825,6915.969999999972,64000.0,144822823.0
osl_tokens,provider,codex,tokens,133195,329.8685986711213,717.7134543756258,3.0,37.0,55.0,140.0,341.0,701.0,1142.0,3015.179999999993,25694.0,43936848.0
osl_tokens,trigger_type,human,tokens,37153,680.6533523537803,1501.4556906307225,1.0,43.0,89.0,272.0,621.0,1524.800000000003,2967.800000000003,6785.480000000003,64000.0,25288314.0
osl_tokens,trigger_type,tool,tokens,275735,586.1842348631839,1210.2467218606216,1.0,37.0,100.0,229.0,558.0,1358.0,2358.0,5702.659999999974,64000.0,161631510.0
osl_tokens,trigger_type,unknown,tokens,2309,796.8155045474231,863.1683284213254,1.0,110.0,248.0,521.0,1043.0,1795.000000000004,2506.1999999999994,4251.800000000005,7775.0,1839847.0
context_length_tokens,all,all,tokens,315197,143610.70163104346,140276.49164027374,402.0,30446.600000000002,54948.0,103839.0,181999.0,288311.20000000007,402202.80000000005,783562.2399999999,999944.0,45265662322.0
context_length_tokens,provider,claude,tokens,182002,168031.9917693212,172280.4248695861,402.0,30517.100000000002,53460.75,106442.0,221353.75,378489.5999999999,531255.1499999993,856419.2599999993,999944.0,30582158566.0
context_length_tokens,provider,codex,tokens,133195,110240.65284732911,63878.78373383796,720.0,30291.0,57101.5,101228.0,160916.5,203316.0,220907.3,241318.24,462569.0,14683503756.0
context_length_tokens,trigger_type,human,tokens,37153,165404.66885581246,184000.35590902783,402.0,16193.000000000002,35351.0,104244.0,218015.0,395742.00000000006,557824.0,891998.6000000016,999686.0,6145279662.0
context_length_tokens,trigger_type,tool,tokens,275735,140976.60392043085,133463.42435141388,720.0,33644.600000000006,56757.0,103858.0,179079.0,272891.4,382768.59999999986,759453.2399999971,999944.0,38872183882.0
context_length_tokens,trigger_type,unknown,tokens,2309,107491.89172802078,66893.90184466644,665.0,28526.6,53586.0,97506.0,156029.0,199042.0,210688.2,256575.00000000023,748236.0,248198778.0
