session_turn_index,metric,group_dimension,group_value,unit,count,mean,stddev_population,min,p10,p25,p50,p75,p90,p95,p99,max,sum
0,isl_tokens,session_turn_index,0,tokens,8600,24268.195,25679.632621643097,402.0,10290.800000000003,13878.0,18601.5,25966.0,37736.1,49186.49999999996,169018.01,710767.0,208706477.0
0,osl_tokens,session_turn_index,0,tokens,8600,322.5124418604651,589.3983401177613,1.0,5.0,125.0,239.0,380.0,570.1000000000004,770.0499999999993,2079.3100000000068,29561.0,2773607.0
0,context_length_tokens,session_turn_index,0,tokens,8600,24268.195,25679.632621643097,402.0,10290.800000000003,13878.0,18601.5,25966.0,37736.1,49186.49999999996,169018.01,710767.0,208706477.0
1,isl_tokens,session_turn_index,1,tokens,7855,5114.890770210057,8706.892815675637,1.0,146.0,633.0,1956.0,5995.0,14149.6,20191.899999999998,38569.68,309624.0,40177467.0
1,osl_tokens,session_turn_index,1,tokens,7855,407.613112667091,762.1380206209718,1.0,44.0,125.0,262.0,415.0,710.6000000000004,1145.8999999999978,3670.340000000001,16338.0,3201801.0
1,context_length_tokens,session_turn_index,1,tokens,7855,26656.21973265436,17560.81082666667,2711.0,12501.400000000001,16824.5,23473.0,33064.0,43265.40000000001,51999.999999999956,75616.54000000002,711459.0,209384606.0
2,isl_tokens,session_turn_index,2,tokens,7467,4975.651265568501,6935.514125021367,2.0,101.0,488.0,2202.0,6829.5,13456.400000000001,18710.399999999994,32086.920000000035,64767.0,37153188.0
2,osl_tokens,session_turn_index,2,tokens,7467,475.83487344314983,1218.477540070153,1.0,47.0,125.0,265.0,458.5,854.8000000000011,1409.7999999999993,3984.720000000001,43970.0,3553059.0
2,context_length_tokens,session_turn_index,2,tokens,7467,31630.25164055176,17862.72816511406,2984.0,14979.2,20454.0,28994.0,39861.5,50551.8,59660.39999999998,82695.8,712542.0,236183089.0
3,isl_tokens,session_turn_index,3,tokens,7163,4504.0205221276,6433.874204501506,3.0,84.0,415.5,1931.0,6066.0,12164.400000000005,17246.799999999996,29297.760000000006,98991.0,32262299.0
3,osl_tokens,session_turn_index,3,tokens,7163,555.6998464330587,1723.0181647541765,1.0,47.0,123.0,265.0,490.0,1023.8000000000002,1795.4999999999945,5400.420000000001,64000.0,3980478.0
3,context_length_tokens,session_turn_index,3,tokens,7163,36691.48373586486,19865.769222277904,3156.0,16816.0,23541.0,34300.0,46468.5,58977.8,69118.7,92369.3,713161.0,262821098.0
4,isl_tokens,session_turn_index,4,tokens,6805,3841.210580455547,5599.705320593046,2.0,76.0,365.0,1731.0,4983.0,10324.0,14508.39999999999,25526.120000000003,85648.0,26139438.0
4,osl_tokens,session_turn_index,4,tokens,6805,564.1788390889052,1248.569791020768,1.0,48.0,121.0,261.0,521.0,1149.2000000000007,2038.5999999999985,5833.040000000003,35452.0,3839237.0
4,context_length_tokens,session_turn_index,4,tokens,6805,41294.63952975753,21782.506810316376,3276.0,18893.0,26797.0,38851.0,51522.0,66323.40000000001,76855.99999999994,102449.00000000001,713897.0,281010022.0
5,isl_tokens,session_turn_index,5,tokens,6480,3389.7708333333335,6378.828776167428,3.0,66.0,275.75,1420.0,4201.0,8986.1,12871.599999999991,25052.370000000006,301025.0,21965715.0
5,osl_tokens,session_turn_index,5,tokens,6480,587.8253086419753,1263.0356525476175,1.0,46.0,117.0,257.5,526.25,1235.0,2177.7999999999884,6228.9400000000005,21205.0,3809108.0
5,context_length_tokens,session_turn_index,5,tokens,6480,45287.687191358025,23864.517442164357,3401.0,20648.8,29546.75,42304.5,56062.5,72754.40000000001,84415.04999999986,115284.80000000002,714302.0,293464213.0
6,isl_tokens,session_turn_index,6,tokens,6191,2830.0243902439024,4509.671908920333,1.0,58.0,199.5,1111.0,3477.5,7812.0,11338.5,22186.300000000054,55347.0,17520681.0
6,osl_tokens,session_turn_index,6,tokens,6191,596.0533031820385,1182.0003249907072,1.0,46.0,113.0,247.0,561.0,1323.0,2310.5,6148.700000000006,17576.0,3690166.0
6,context_length_tokens,session_turn_index,6,tokens,6191,48539.45937651429,25036.946401441026,3522.0,22732.0,32080.0,45288.0,59878.5,77772.0,90397.0,125475.70000000006,714789.0,300507793.0
7,isl_tokens,session_turn_index,7,tokens,5846,2481.510434485118,4376.319508144914,2.0,50.0,171.0,874.0,2948.0,6636.5,10356.0,20109.0,107048.0,14506910.0
7,osl_tokens,session_turn_index,7,tokens,5846,611.064317482039,1323.7619401825432,1.0,45.0,110.0,235.0,535.75,1300.0,2417.25,6973.35000000001,27237.0,3572282.0
7,context_length_tokens,session_turn_index,7,tokens,5846,51415.76103318508,26467.718756049995,4691.0,24427.0,34201.5,47698.0,63463.0,81968.0,94685.0,132923.75000000006,715393.0,300576539.0
8,isl_tokens,session_turn_index,8,tokens,5537,2231.193787249413,3708.5772562397424,4.0,52.0,166.0,811.0,2684.0,5939.200000000004,9357.199999999999,17896.040000000095,46527.0,12354120.0
8,osl_tokens,session_turn_index,8,tokens,5537,651.2420083077478,1487.1301850926022,1.0,46.0,110.0,228.0,560.0,1469.800000000001,2694.2,7018.320000000037,32000.0,3605927.0
8,context_length_tokens,session_turn_index,8,tokens,5537,54066.546505327795,27630.303297537976,4891.0,25773.8,36224.0,49959.0,66470.0,86074.00000000001,99555.99999999997,140807.32,715827.0,299366468.0
9,isl_tokens,session_turn_index,9,tokens,5242,2050.755436856162,3625.668439902697,4.0,48.0,139.0,708.0,2426.75,5483.0,8264.95,17092.0,80761.0,10750060.0
9,osl_tokens,session_turn_index,9,tokens,5242,645.4463945059138,1455.8455207741108,1.0,46.0,104.0,222.5,565.0,1441.5000000000027,2622.749999999999,7406.570000000003,31032.0,3383430.0
9,context_length_tokens,session_turn_index,9,tokens,5242,56253.438573063715,28436.464803712126,5334.0,27224.600000000002,37928.75,52198.0,69100.0,89299.70000000004,103098.45,144264.05000000002,716272.0,294880525.0
10,isl_tokens,session_turn_index,10,tokens,4968,1907.0090579710145,3337.233003203639,2.0,48.700000000000045,138.75,684.5,2260.0,5003.6,7725.299999999992,16012.549999999997,43812.0,9474021.0
10,osl_tokens,session_turn_index,10,tokens,4968,688.6841787439613,1506.1982851036596,1.0,45.0,108.0,225.0,570.0,1546.9000000000005,3085.54999999999,7995.519999999997,22805.0,3421383.0
10,context_length_tokens,session_turn_index,10,tokens,4968,58274.55696457327,29096.194699076405,5566.0,28543.9,39619.0,54005.0,71175.25,92126.8,106337.7,148301.81999999998,716864.0,289507999.0
11,isl_tokens,session_turn_index,11,tokens,4734,1741.45690747782,5276.854566211846,4.0,47.0,106.0,586.0,1956.0,4416.799999999994,7092.249999999992,14453.960000000006,301506.0,8244057.0
11,osl_tokens,session_turn_index,11,tokens,4734,679.4501478664977,1594.70138818424,1.0,46.0,106.0,222.0,571.75,1515.0,2828.0,7877.750000000002,24096.0,3216517.0
11,context_length_tokens,session_turn_index,11,tokens,4734,60277.83924799324,30144.197645975208,5705.0,29920.5,41026.25,55778.0,73533.0,95184.69999999998,109510.64999999994,151406.63,717413.0,285355291.0
12,isl_tokens,session_turn_index,12,tokens,4521,1656.3890732138907,3153.4736079056734,4.0,47.0,110.0,560.0,1914.0,4244.0,6989.0,13767.600000000017,73139.0,7488535.0
12,osl_tokens,session_turn_index,12,tokens,4521,720.2267197522672,1554.6774332290875,1.0,46.0,107.0,229.0,581.0,1763.0,3214.0,8064.600000000034,21871.0,3256145.0
12,context_length_tokens,session_turn_index,12,tokens,4521,62201.008184030085,30614.114423239465,5820.0,30999.0,42539.0,57584.0,75805.0,97869.0,112345.0,158568.4000000003,717882.0,281210758.0
13,isl_tokens,session_turn_index,13,tokens,4307,1461.365451590434,2625.1728102936545,5.0,46.0,93.5,465.0,1700.0,3945.0,5998.799999999999,12889.019999999888,47536.0,6294101.0
13,osl_tokens,session_turn_index,13,tokens,4307,693.8908753192477,1619.2644321737125,1.0,47.0,107.0,217.0,576.0,1583.4000000000015,3045.699999999998,7149.899999999966,28700.0,2988588.0
13,context_length_tokens,session_turn_index,13,tokens,4307,64067.197817506385,31260.322541899714,7923.0,32218.2,44085.5,59236.0,77879.5,101072.0,116345.19999999998,162955.37999999992,719653.0,275937421.0
14,isl_tokens,session_turn_index,14,tokens,4109,1416.2139206619615,2523.7449230928873,1.0,47.0,95.0,451.0,1639.0,3636.600000000001,5966.999999999999,12805.200000000004,29643.0,5819223.0
14,osl_tokens,session_turn_index,14,tokens,4109,673.993429058165,1484.9646225113056,1.0,47.0,108.0,223.0,601.0,1514.6000000000022,2909.6,6973.520000000008,26855.0,2769439.0
14,context_length_tokens,session_turn_index,14,tokens,4109,65766.53760038939,31956.84003857802,9013.0,33275.0,45493.0,60418.0,80445.0,103878.00000000001,119339.59999999999,165338.64000000007,720032.0,270234703.0
15,isl_tokens,session_turn_index,15,tokens,3920,1412.409948979592,2943.6788619686454,1.0,46.0,92.0,448.5,1525.0,3498.3999999999996,5800.749999999996,13939.349999999993,62953.0,5536647.0
15,osl_tokens,session_turn_index,15,tokens,3920,692.3818877551021,1481.596964471489,1.0,48.0,105.0,218.0,600.0,1565.1,2950.3499999999817,8057.509999999991,17171.0,2714137.0
15,context_length_tokens,session_turn_index,15,tokens,3920,67671.61658163265,32766.212853414814,9425.0,34626.6,46621.75,61935.0,82939.75,106349.8,122655.74999999994,166811.35,720253.0,265272737.0
16,isl_tokens,session_turn_index,16,tokens,3749,1383.4278474259802,2847.0726495076447,3.0,45.0,87.0,405.0,1478.0,3407.800000000001,5712.799999999997,13427.279999999997,41668.0,5186471.0
16,osl_tokens,session_turn_index,16,tokens,3749,678.3056815150707,1354.533860058338,1.0,47.0,108.0,218.0,607.0,1683.200000000003,3040.0,6948.839999999999,22203.0,2542968.0
16,context_length_tokens,session_turn_index,16,tokens,3749,69488.95198719659,33708.463573133755,10484.0,35556.200000000004,48071.0,63280.0,84846.0,109314.40000000001,125741.0,171469.88,720580.0,260514081.0
17,isl_tokens,session_turn_index,17,tokens,3597,1294.981095357242,2573.8109777765158,3.0,40.60000000000002,77.0,357.0,1377.0,3280.4,5678.399999999997,12869.039999999999,40972.0,4658047.0
17,osl_tokens,session_turn_index,17,tokens,3597,655.0939671948846,1402.826931437393,1.0,48.0,108.0,216.0,602.0,1498.0000000000005,2804.199999999998,6928.08,27046.0,2356373.0
17,context_length_tokens,session_turn_index,17,tokens,3597,71543.87656380318,34548.064930593195,10656.0,36780.0,49447.0,65258.0,86905.0,112655.40000000001,129153.39999999997,177632.15999999992,720977.0,257343324.0
18,isl_tokens,session_turn_index,18,tokens,3470,1280.4550432276658,2447.195915912891,1.0,45.0,79.25,353.0,1391.75,3348.899999999999,5365.649999999989,11477.749999999998,27217.0,4443179.0
18,osl_tokens,session_turn_index,18,tokens,3470,660.4942363112392,1397.9660809588509,1.0,50.0,107.0,235.0,584.0,1517.3999999999996,2840.0,7183.189999999986,28447.0,2291915.0
18,context_length_tokens,session_turn_index,18,tokens,3470,73451.21988472622,35159.56301633297,11769.0,38128.2,50870.25,67069.0,90151.5,115400.79999999999,133245.24999999994,183052.72999999992,721606.0,254875733.0
19,isl_tokens,session_turn_index,19,tokens,3331,1207.7850495346743,2244.952079469854,5.0,45.0,82.0,334.0,1339.5,3193.0,5484.0,11250.199999999997,25711.0,4023132.0
19,osl_tokens,session_turn_index,19,tokens,3331,697.1852296607625,1530.2654830871993,1.0,48.0,105.5,220.0,611.0,1658.0,2945.0,7636.299999999984,27679.0,2322324.0
19,context_length_tokens,session_turn_index,19,tokens,3331,75451.2230561393,35966.20165870743,12485.0,39651.0,52276.0,68851.0,92351.5,118092.0,135319.0,190396.89999999898,722301.0,251328024.0
20,isl_tokens,session_turn_index,20,tokens,3215,1175.2538102643857,2290.072937294988,2.0,40.0,75.0,308.0,1239.0,3132.6,5008.899999999985,11574.74000000002,28878.0,3778441.0
20,osl_tokens,session_turn_index,20,tokens,3215,675.0777604976672,1477.3386612166187,1.0,48.0,105.0,223.0,611.5,1559.0,2735.5999999999995,7371.740000000014,22357.0,2170375.0
20,context_length_tokens,session_turn_index,20,tokens,3215,77114.25909797823,36790.71580025635,13086.0,40618.8,53502.0,70320.0,94211.5,120425.0,139532.19999999992,194640.82000000007,722861.0,247922343.0
21,isl_tokens,session_turn_index,21,tokens,3104,1193.3630798969073,2543.725062937176,1.0,39.30000000000001,78.0,319.5,1237.25,3013.800000000001,5083.5999999999985,12132.719999999965,43815.0,3704199.0
