metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
isl_tokens,all,all,tokens,0,1,"(0,1]",31,9.835118989076673e-05,31,9.835118989076673e-05,315197
isl_tokens,all,all,tokens,1,2,"(1,2]",9,2.8553571258609694e-05,40,0.0001269047611493764,315197
isl_tokens,all,all,tokens,2,3,"(2,3]",22,6.979761863215703e-05,62,0.00019670237978153347,315197
isl_tokens,all,all,tokens,3,4,"(3,4]",66,0.0002093928558964711,128,0.00040609523567800454,315197
isl_tokens,all,all,tokens,4,5,"(4,5]",108,0.0003426428551033163,236,0.0007487380907813209,315197
isl_tokens,all,all,tokens,5,6,"(5,6]",595,0.0018877083220969742,831,0.002636446412878295,315197
isl_tokens,all,all,tokens,6,7,"(6,7]",220,0.0006979761863215704,1051,0.0033344225991998656,315197
isl_tokens,all,all,tokens,7,8,"(7,8]",224,0.000710666662436508,1275,0.004045089261636373,315197
isl_tokens,all,all,tokens,8,9,"(8,9]",319,0.001012065470166277,1594,0.00505715473180265,315197
isl_tokens,all,all,tokens,9,10,"(9,10]",358,0.0011357976122869189,1952,0.006192952344089569,315197
isl_tokens,all,all,tokens,10,12,"(10,12]",1090,0.0034581547413205073,3042,0.009651107085410077,315197
isl_tokens,all,all,tokens,12,13,"(12,13]",1901,0.0060311487736241145,4943,0.01568225585903419,315197
isl_tokens,all,all,tokens,13,15,"(13,15]",1327,0.004210065451130562,6270,0.019892321310164753,315197
isl_tokens,all,all,tokens,15,16,"(15,16]",373,0.0011833868977179352,6643,0.02107570820788269,315197
isl_tokens,all,all,tokens,16,18,"(16,18]",1949,0.006183434487003366,8592,0.027259142694886055,315197
isl_tokens,all,all,tokens,18,20,"(18,20]",1316,0.0041751666418144845,9908,0.03143430933670054,315197
isl_tokens,all,all,tokens,20,23,"(20,23]",3689,0.01170379159700124,13597,0.04313810093370178,315197
isl_tokens,all,all,tokens,23,26,"(23,26]",6028,0.019124547505211028,19625,0.062262648438912806,315197
isl_tokens,all,all,tokens,26,29,"(26,29]",11765,0.03732586287306034,31390,0.09958851131197315,315197
isl_tokens,all,all,tokens,29,32,"(29,32]",1437,0.004559053544291348,32827,0.1041475648562645,315197
isl_tokens,all,all,tokens,32,36,"(32,36]",1970,0.006250059486606788,34797,0.11039762434287129,315197
isl_tokens,all,all,tokens,36,40,"(36,40]",5980,0.018972261791831774,40777,0.12936988613470307,315197
isl_tokens,all,all,tokens,40,45,"(40,45]",3569,0.011323077313553111,44346,0.14069296344825616,315197
isl_tokens,all,all,tokens,45,51,"(45,51]",14851,0.04711656519573473,59197,0.1878095286439909,315197
isl_tokens,all,all,tokens,51,57,"(51,57]",7398,0.02347103557457717,66595,0.21128056421856806,315197
isl_tokens,all,all,tokens,57,64,"(57,64]",10476,0.03323635694502169,77071,0.24451692116358975,315197
isl_tokens,all,all,tokens,64,71,"(64,71]",7637,0.02422929152244469,84708,0.26874621268603444,315197
isl_tokens,all,all,tokens,71,80,"(71,80]",8723,0.027674755787650263,93431,0.2964209684736847,315197
isl_tokens,all,all,tokens,80,90,"(80,90]",6908,0.021916452250497306,100339,0.31833742072418203,315197
isl_tokens,all,all,tokens,90,100,"(90,100]",5943,0.018854874887768602,106282,0.33719229561195063,315197
isl_tokens,all,all,tokens,100,113,"(100,113]",5781,0.018340910605113628,112063,0.35553320621706425,315197
isl_tokens,all,all,tokens,113,126,"(113,126]",5156,0.01635802371215462,117219,0.37189122992921886,315197
