metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
turns_per_simulator_session,all,all,turns,0,1,"(0,1]",745,0.08662790697674419,745,0.08662790697674419,8600
turns_per_simulator_session,all,all,turns,1,2,"(1,2]",388,0.045116279069767444,1133,0.13174418604651164,8600
turns_per_simulator_session,all,all,turns,2,3,"(2,3]",304,0.035348837209302326,1437,0.16709302325581396,8600
turns_per_simulator_session,all,all,turns,3,4,"(3,4]",358,0.041627906976744185,1795,0.20872093023255814,8600
turns_per_simulator_session,all,all,turns,4,5,"(4,5]",325,0.0377906976744186,2120,0.24651162790697675,8600
turns_per_simulator_session,all,all,turns,5,6,"(5,6]",289,0.0336046511627907,2409,0.28011627906976744,8600
turns_per_simulator_session,all,all,turns,6,7,"(6,7]",345,0.04011627906976744,2754,0.3202325581395349,8600
turns_per_simulator_session,all,all,turns,7,8,"(7,8]",309,0.035930232558139534,3063,0.3561627906976744,8600
turns_per_simulator_session,all,all,turns,8,9,"(8,9]",295,0.03430232558139535,3358,0.39046511627906977,8600
turns_per_simulator_session,all,all,turns,9,10,"(9,10]",274,0.03186046511627907,3632,0.4223255813953488,8600
turns_per_simulator_session,all,all,turns,10,12,"(10,12]",447,0.05197674418604651,4079,0.47430232558139535,8600
turns_per_simulator_session,all,all,turns,12,13,"(12,13]",214,0.02488372093023256,4293,0.4991860465116279,8600
turns_per_simulator_session,all,all,turns,13,15,"(13,15]",387,0.045,4680,0.5441860465116279,8600
turns_per_simulator_session,all,all,turns,15,16,"(15,16]",171,0.019883720930232558,4851,0.5640697674418604,8600
turns_per_simulator_session,all,all,turns,16,18,"(16,18]",279,0.03244186046511628,5130,0.5965116279069768,8600
turns_per_simulator_session,all,all,turns,18,20,"(18,20]",255,0.029651162790697676,5385,0.6261627906976744,8600
turns_per_simulator_session,all,all,turns,20,23,"(20,23]",322,0.03744186046511628,5707,0.6636046511627907,8600
turns_per_simulator_session,all,all,turns,23,26,"(23,26]",291,0.03383720930232558,5998,0.6974418604651162,8600
turns_per_simulator_session,all,all,turns,26,29,"(26,29]",223,0.025930232558139536,6221,0.7233720930232558,8600
turns_per_simulator_session,all,all,turns,29,32,"(29,32]",199,0.02313953488372093,6420,0.7465116279069768,8600
turns_per_simulator_session,all,all,turns,32,36,"(32,36]",199,0.02313953488372093,6619,0.7696511627906977,8600
turns_per_simulator_session,all,all,turns,36,40,"(36,40]",165,0.01918604651162791,6784,0.7888372093023256,8600
turns_per_simulator_session,all,all,turns,40,45,"(40,45]",167,0.01941860465116279,6951,0.8082558139534883,8600
turns_per_simulator_session,all,all,turns,45,51,"(45,51]",157,0.01825581395348837,7108,0.8265116279069767,8600
turns_per_simulator_session,all,all,turns,51,57,"(51,57]",122,0.014186046511627907,7230,0.8406976744186047,8600
turns_per_simulator_session,all,all,turns,57,64,"(57,64]",113,0.013139534883720931,7343,0.8538372093023255,8600
turns_per_simulator_session,all,all,turns,64,71,"(64,71]",107,0.01244186046511628,7450,0.8662790697674418,8600
turns_per_simulator_session,all,all,turns,71,80,"(71,80]",125,0.014534883720930232,7575,0.8808139534883721,8600
turns_per_simulator_session,all,all,turns,80,90,"(80,90]",109,0.012674418604651162,7684,0.8934883720930232,8600
turns_per_simulator_session,all,all,turns,90,100,"(90,100]",106,0.012325581395348837,7790,0.9058139534883721,8600
turns_per_simulator_session,all,all,turns,100,113,"(100,113]",131,0.015232558139534884,7921,0.921046511627907,8600
turns_per_simulator_session,all,all,turns,113,126,"(113,126]",107,0.01244186046511628,8028,0.9334883720930233,8600
turns_per_simulator_session,all,all,turns,126,142,"(126,142]",99,0.011511627906976744,8127,0.945,8600
turns_per_simulator_session,all,all,turns,142,159,"(142,159]",111,0.012906976744186047,8238,0.957906976744186,8600
turns_per_simulator_session,all,all,turns,159,178,"(159,178]",67,0.007790697674418604,8305,0.9656976744186047,8600
turns_per_simulator_session,all,all,turns,178,200,"(178,200]",58,0.006744186046511628,8363,0.9724418604651163,8600
turns_per_simulator_session,all,all,turns,200,224,"(200,224]",45,0.005232558139534884,8408,0.9776744186046512,8600
turns_per_simulator_session,all,all,turns,224,252,"(224,252]",34,0.003953488372093023,8442,0.9816279069767442,8600
turns_per_simulator_session,all,all,turns,252,282,"(252,282]",30,0.0034883720930232558,8472,0.9851162790697674,8600
turns_per_simulator_session,all,all,turns,282,317,"(282,317]",23,0.002674418604651163,8495,0.9877906976744186,8600
turns_per_simulator_session,all,all,turns,317,355,"(317,355]",15,0.0017441860465116279,8510,0.9895348837209302,8600
turns_per_simulator_session,all,all,turns,355,399,"(355,399]",17,0.0019767441860465114,8527,0.9915116279069768,8600
turns_per_simulator_session,all,all,turns,399,447,"(399,447]",13,0.0015116279069767441,8540,0.9930232558139535,8600
turns_per_simulator_session,all,all,turns,447,502,"(447,502]",12,0.0013953488372093023,8552,0.9944186046511628,8600
turns_per_simulator_session,all,all,turns,502,563,"(502,563]",12,0.0013953488372093023,8564,0.9958139534883721,8600
turns_per_simulator_session,all,all,turns,563,631,"(563,631]",9,0.0010465116279069768,8573,0.996860465116279,8600
turns_per_simulator_session,all,all,turns,631,708,"(631,708]",7,0.0008139534883720931,8580,0.9976744186046511,8600
turns_per_simulator_session,all,all,turns,708,795,"(708,795]",10,0.0011627906976744186,8590,0.9988372093023256,8600
